font_name,accuracy,font_size,vox_atypl,underlined,bold
Caslon Ionic Web Regular Regular,92.83%,32,mechanistic,False,False
Caslon Ionic Web Regular Regular,95.64%,14,mechanistic,False,False
CENTURY,93.46%,34,mechanistic,False,False
Clarendon-Regular,93.15%,30,mechanistic,False,False
Caslon Ionic Web Regular Regular,94.39%,34,mechanistic,True,False
City Medium,95.33%,28,mechanistic,False,False
CENTURY,94.70%,26,mechanistic,False,False
Clarendon-Regular,94.39%,26,mechanistic,True,False
Rockwell,94.39%,16,mechanistic,True,False
Clarendon-Regular,96.26%,10,mechanistic,False,False
Clarendon-Regular,95.02%,20,mechanistic,True,False
Caslon Ionic Web Regular Regular,93.77%,16,mechanistic,True,False
Rockwell-Bold,94.70%,20,mechanistic,False,True
City Medium,96.26%,16,mechanistic,True,False
City Medium,94.08%,26,mechanistic,True,False
Caslon Ionic Web Regular Regular,95.33%,14,mechanistic,True,False
City Medium,94.08%,24,mechanistic,True,False
Rockwell,94.08%,22,mechanistic,True,False
Caslon Ionic Web Regular Regular,92.83%,32,mechanistic,True,False
City Medium,94.08%,32,mechanistic,True,False
Rockwell-Bold,92.83%,34,mechanistic,True,False
OPTIMA,94.08%,34,incised,True,False
Latin-Regular,37.07%,32,incised,False,False
Latin-Regular,50.16%,28,incised,False,False
Latin-Regular,28.35%,34,incised,False,False
OptimaItalic,95.02%,22,incised,True,False
mercurius,92.52%,28,incised,False,False
Latin-Regular,0.00%,34,incised,True,False
AlbertusMTStdItalic,95.33%,26,incised,True,False
Optima Medium,96.57%,12,incised,False,False
Latin-Bold,22.43%,30,incised,False,True
OPTIMABold,95.02%,32,incised,False,True
AlbertusMTStdItalic,93.77%,32,incised,True,False
OPTIMA,95.33%,24,incised,True,False
Albertus Medium Regular,95.95%,18,incised,False,False
Optima Medium,95.95%,18,incised,False,False
Albertus Medium Regular,97.51%,26,incised,False,False
mercurius,91.59%,32,incised,False,False
Latin-Regular,42.06%,12,incised,False,False
OptimaItalic,96.57%,14,incised,False,False
OPTIMABold,95.64%,20,incised,False,True
Latin-Bold,48.91%,32,incised,True,False
Latin-Regular,48.91%,32,incised,True,False
Albertus Medium Regular,95.02%,32,incised,False,False
AlbertusMTStdItalic,97.51%,12,incised,True,False
AlbertusMTStdItalic,96.26%,18,incised,True,False
Latin-Bold,0.00%,16,incised,True,False
AlbertusMTStdLight,95.33%,28,incised,False,False
AlbertusMTStdItalic,95.64%,22,incised,True,False
Albertus Medium Regular,96.88%,26,incised,True,False
OPTIMABold,94.70%,26,incised,True,False
OptimaItalic,95.02%,22,incised,False,False
Albertus Medium Regular,96.26%,16,incised,True,False
Latin-Bold,0.62%,12,incised,True,False
mercurius,96.57%,14,incised,False,False
mercurius,94.39%,20,incised,False,False
Albertus Medium Regular,95.64%,20,incised,False,False
Latin-Regular,0.62%,12,incised,True,False
OptimaItalic,95.02%,26,incised,False,False
OPTIMABold,94.70%,30,incised,False,True
OptimaItalic,94.39%,34,incised,False,False
AlbertusMTStdItalic,98.75%,16,incised,True,False
OptimaItalic,96.57%,12,incised,False,False
AlbertusMTStd,95.02%,24,incised,True,False
Latin-Bold,28.35%,34,incised,False,True
mercurius,95.95%,16,incised,False,False
OPTIMABold,95.02%,28,incised,True,False
AlbertusMTStd,97.20%,10,incised,False,False
OptimaItalic,92.21%,34,incised,True,False
mercurius,93.46%,22,incised,True,False
OPTIMABold,95.64%,18,incised,False,True
Latin-Bold,0.00%,34,incised,True,False
Optima Medium,95.02%,22,incised,False,False
Albertus Medium Regular,96.57%,12,incised,False,False
Optima Medium,95.64%,30,incised,False,False
Latin-Regular,20.87%,26,incised,False,False
Albertus Medium Regular,95.33%,22,incised,True,False
Latin-Bold,35.20%,14,incised,False,True
AlbertusMTStd,96.57%,12,incised,False,False
OPTIMA,96.57%,12,incised,False,False
Latin-Regular,45.48%,22,incised,True,False
Latin-Bold,57.32%,18,incised,False,True
Optima Medium,94.08%,16,incised,True,False
AlbertusMTStd,91.90%,34,incised,True,False
OPTIMABold,95.95%,18,incised,True,False
Albertus Medium Regular,95.02%,20,incised,True,False
OPTIMA,94.39%,28,incised,False,False
Albertus Medium Regular,95.02%,32,incised,True,False
OPTIMABold,95.02%,24,incised,True,False
AlbertusMTStd,95.02%,30,incised,True,False
mercurius,36.45%,10,incised,True,False
AlbertusMTStd,96.26%,20,incised,False,False
OPTIMABold,95.02%,32,incised,True,False
Latin-Regular,32.71%,16,incised,False,False
